cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
areál jiné aktivity,other site,amcr,HES-000056,areal,areál aktivity,Activity Area,heslar:areal,0
areál nezemědělské výroby,production site,amcr,HES-000078,areal,areál aktivity,Activity Area,heslar:areal,0
areál těžby,extracting site,amcr,HES-000032,areal,areál aktivity,Activity Area,heslar:areal,0
areál vojenských aktivit,military site,amcr,HES-000041,areal,areál aktivity,Activity Area,heslar:areal,0
areál zemědělské výroby,agricultural production site,amcr,HES-000036,areal,areál aktivity,Activity Area,heslar:areal,0
boj,fighting activity,amcr,HES-000008,aktivita,aktivita,Activity Area,heslar:aktivita,0
bojiště,battlefield,amcr,HES-000042,areal,areál aktivity,Activity Area,heslar:areal,0
dehtárna,tar kiln,amcr,HES-000079,areal,areál aktivity,Activity Area,heslar:areal,0
deponování,deposition activity,amcr,HES-000007,aktivita,aktivita,Activity Area,heslar:aktivita,0
depot,hoard,amcr,HES-000051,areal,areál aktivity,Activity Area,heslar:areal,0
dvorec/dvůr,curia/manorial farm,amcr,HES-000014,areal,areál aktivity,Activity Area,heslar:areal,0
důl,mine,amcr,HES-000033,areal,areál aktivity,Activity Area,heslar:areal,0
hrad,castle,amcr,HES-000015,areal,areál aktivity,Activity Area,heslar:areal,0
hradiště,hillfort,amcr,HES-000072,areal,areál aktivity,Activity Area,heslar:areal,0
hrazené sídliště,enclosed settlement,amcr,HES-000064,areal,areál aktivity,Activity Area,heslar:areal,0
hrazený areál,enclosure,amcr,HES-000071,areal,areál aktivity,Activity Area,heslar:areal,0
intruze,intrusion,amcr,HES-000010,aktivita,aktivita,Activity Area,heslar:aktivita,0
izolovaný pohřeb,isolated grave,amcr,HES-000026,areal,areál aktivity,Activity Area,heslar:areal,0
jez,weir,amcr,HES-000052,areal,areál aktivity,Activity Area,heslar:areal,0
jiná aktivita,other activity,amcr,HES-000009,aktivita,aktivita,Activity Area,heslar:aktivita,0
kanál/náhon,channel/millrace,amcr,HES-000053,areal,areál aktivity,Activity Area,heslar:areal,1
klášter,monastery,amcr,HES-000073,areal,areál aktivity,Activity Area,heslar:areal,0
komunikace,transportation structure,amcr,HES-000047,areal,areál aktivity,Activity Area,heslar:areal,0
komunikace (aktivita),transportation activity,amcr,HES-000006,aktivita,aktivita,Activity Area,heslar:aktivita,0
krajina,landscape,amcr,HES-000117,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
kult,ritual activity,amcr,HES-000005,aktivita,aktivita,Activity Area,heslar:aktivita,0
kultovní areál,ritual site,amcr,HES-000019,areal,areál aktivity,Activity Area,heslar:areal,0
kultovní místo,ritual place,amcr,HES-000023,areal,areál aktivity,Activity Area,heslar:areal,0
kříž/boží muka,cross/calvary,amcr,HES-000022,areal,areál aktivity,Activity Area,heslar:areal,0
lom,quarry,amcr,HES-000034,areal,areál aktivity,Activity Area,heslar:areal,0
milířiště,charcoal kiln,amcr,HES-000029,areal,areál aktivity,Activity Area,heslar:areal,0
most/brod,bridge/ford,amcr,HES-000049,areal,areál aktivity,Activity Area,heslar:areal,1
muzeum/skanzen,museum/open-air museum,amcr,HES-000129,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,1
místo sběru,collection site,amcr,HES-000057,areal,areál aktivity,Activity Area,heslar:areal,0
město,city,amcr,HES-000074,areal,areál aktivity,Activity Area,heslar:areal,0
městský palác,town palace,amcr,HES-000016,areal,areál aktivity,Activity Area,heslar:areal,0
nadkomunitní areál,supracommunity site,amcr,HES-000011,areal,areál aktivity,Activity Area,heslar:areal,0
nemovitá památka,heritage site,amcr,HES-001122,lokalita_typ,typ lokality,Activity Area,heslar:lokalita_typ,0
