file_id,page,line,original_text,categ,quality_score,model_category,model_keywords_cs,candidate_terms,gold_category,gold_keywords_cs,annotator_note
CTX000000001,1,1,Výzkumná zpráva č. 1/2024 — Hradiště u Horní Mezí,Clear,0.9215,,,hradiště,,,
CTX000000001,1,2,Terénní výzkum provedl Jan Novotný v červnu 2024.,Clear,0.9302,,,,,,
CTX000000001,2,1,Nalezená keramika pochází z raného středověku.,Clear,0.9268,,,keramika; středověk,,,
CTX000000001,2,2,Výzkum byl financován z projektu DEMO.,Clear,0.9087,,,,,,
CTX000000002,1,1,HRADIŠTĚ U HORNÍ MEZÍ,Clear,0.9012,,,hradiště,,,
CTX000000002,1,2,Lokalita: okr. Horní Mezi,Clear,0.9,,,,,,
CTX000000002,1,3,Sonda II odkryla část valového tělesa.,Clear,0.9156,,,sonda,,,
CTX000000002,2,1,Eva Procházková dokumentovala nálezy.,Clear,0.9101,,,,,,
CTX000000002,2,2,rnn1 ww0rd vv_~~,Trash,0.3214,,,,,,
CTX000000002,2,3,,Empty,0.0,,,,,,
CTX000000002,3,1,Mocnost kulturní vrstvy činila 40 cm.,Clear,0.9,,,,,,
CTX000000002,3,2,qpqb dbqp uunn,Trash,0.2055,,,,,,
CTX000000002,4,1,Soubor nálezů byl uložen v depozitáři.,Clear,0.9143,,,,,,
CTX000000002,4,2,A123/2024,Non-text,0.0,,,,,,
CTX000000003,1,1,Náčrt sondy.,Noisy,0.8472,,,sonda,,,
CTX000000003,1,2,1998,Non-text,0.0,,,,,,
CTX192100040,2,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV ‘o/2/,Clear,0.8089,,,,,,
CTX192100040,2,2,"Došlo dne 6/,1921 Lodenice, dne 7.února 1921.",Clear,0.8108,,,,,,
CTX192100040,2,3,Počet příloh I,Clear,0.9626,,,,,,
CTX192100040,2,4,P. T. Pan,Non-text,0.0,,,,,,
CTX192100040,2,5,"Jos. A. Jíra ,",Noisy,0.7546,,,,,,
CTX192100040,2,6,konservátor pro Čechy v P r a z e 1,Noisy,0.5499,,,,,,
CTX192100040,2,7,,Empty,0.0,,,,,,
CTX192100040,2,8,K ct.dopisu Vašemu ze dne 31.XII.m.r.dovoluji si,Clear,0.8,,,,,,
CTX192100040,2,9,odpověděti trochu obšírněji:,Clear,0.9598,,,,,,
CTX192100040,2,10,"Směrem sev.záp.od městyse Loděnice,1 hod.cesty - vzdušnou",Clear,0.8448,,,loděnice,,,
