"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Polarity","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.SpaceAfter","udpipe.misc.SpacesAfter"
"1","HRADIŠTĚ","hradiště","1","B-gu","Settlement name (City/Town)","","","","","Nom","","","Neut","","","","Sing","","","","","","","","",""
"1","U","u","2","I-gu","Settlement name (City/Town)","","Prep","","","Gen","","","","","","","","","","","","","","","",""
"1","HORNÍ","horní","3","I-gu","Settlement name (City/Town)","","","","","Gen","Pos","","Fem","","","","Sing","Pos","","","","","","","",""
"1","MEZÍ","mez","4","I-gu","Settlement name (City/Town)","","","","","Gen","","","Fem","","","","Plur","","","","","","","","","\n"
"1","Lokalita","lokalita","5","O","","","","","","Nom","","","Fem","","","","Sing","","","","","","","","No",""
"1",":",":","6","O","","","","","","","","","","","","","","","","","","","","","",""
"1","okr","okrázek","7","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","No",""
"1",".",".","8","O","","","","","","","","","","","","","","","","","","","","","",""
"1","Horní","horní","9","B-gr","Territorial name (State/Region)","","","","","Nom","Pos","","Fem","","","","Sing","Pos","","","","","","","",""
"1","Mezi","mezi","10","I-gr","Territorial name (State/Region)","","Prep","","","Ins","","","","","","","","","","","","","","","","\n"
"1","Sonda","Sonda","11","O","","","","","","Nom","","","Fem","Geo","","","Sing","","","","","","","","",""
"1","II","II","12","O","","","","","","","","","","","Roman","Card","","","","","","","","","",""
"1","odkryla","odkrýt","13","O","","","","","Perf","","","","Fem,Neut","","","","Plur,Sing","Pos","Past","","Part","Act","","","",""
"1","část","část","14","O","","","","","","Acc","","","Fem","","","","Sing","","","","","","","","",""
"1","valového","valový","15","O","","","","","","Gen","Pos","","Neut","","","","Sing","Pos","","","","","","","",""
"1","tělesa","těleso","16","O","","","","","","Gen","","","Neut","","","","Sing","","","","","","","","No",""
"1",".",".","17","O","","","","","","","","","","","","","","","","","","","","","","\n"
"2","Eva","Eva","1","B-P","Complex personal names","","","","","Nom","","","Fem","Giv","","","Sing","","","","","","Yes","","",""
"2","Procházková","Procházková","2","I-P","Complex personal names","","","","","Nom","","","Fem","Giv","","","Sing","","","","","","","Yes","",""
"2","dokumentovala","dokumentovat","3","O","","","","","Imp,Perf","","","","Fem,Neut","","","","Plur,Sing","Pos","Past","","Part","Act","","","",""
"2","nálezy","nález","4","O","","","","Inan","","Acc","","","Masc","","","","Plur","","","","","","","","No",""
"2",".",".","5","O","","","","","","","","","","","","","","","","","","","","","","\n"
"2","rnn","rnn","1","B-or","Directives, norms","Yes","","","","","","","","","","","","","","","","","","","No",""
"2","1","1","2","I-or","Directives, norms","","","","","","","","","","Digit","Card","","","","","","","","","",""
"2","ww","ww","3","O","","Yes","","","","","","","","","","","","","","","","","","","No",""
"2","0","0","4","O","","","","","","","","","","","Digit","Card","","","","","","","","","No",""
"2","rd","rd","5","O","","Yes","","","","","","","","","","","","","","","","","","","",""
"2","vv","vv","6","O","","Yes","","","","","","","","","","","","","","","","","","","No",""
"2","_","_","7","O","","","","","","","","","","","","","","","","","","","","","No",""
"2","~","~","8","O","","Yes","","","","","","","","","","","","","","","","","","","No",""
"2","~","~","9","O","","","","","","","","","","","","","","","","","","","","","","\n"
"3","Mocnost","mocnost","1","O","","","","","","Nom","","","Fem","","","","Sing","","","","","","","","",""
"3","kulturní","kulturní","2","O","","","","","","Gen","Pos","","Fem","","","","Sing","Pos","","","","","","","",""
"3","vrstvy","vrstva","3","O","","","","","","Gen","","","Fem","","","","Sing","","","","","","","","",""
"3","činila","činit","4","O","","","","","Imp","","","","Fem,Neut","","","","Plur,Sing","Pos","Past","","Part","Act","","","",""
"3","40","40","5","B-nc","Cardinal number","","","","","","","","","","Digit","Card","","","","","","","","","",""
"3","cm","centimetr","6","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","No",""
"3",".",".","7","O","","","","","","","","","","","","","","","","","","","","","","\n"
"3","qpqb","qpqb","1","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","",""
"3","dbqp","dbqp","2","O","","","","","","","","Yes","","","","","","","","","","","","","",""
"3","uunn","uunn","3","O","","","","","","","","Yes","","","","","","","","","","","","","","\n"
"4","Soubor","soubor","4","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","",""
